-41.0426395845962	-37.88795169154846
-45.27009981664601	-35.55152855519313
-50.10148293898864	-35.08424392792206
-55.5367889516241	-35.31788624155759
-59.46228773852748	-36.71974012337079
-61.274056409405965	-40.224374827903794
-59.46228773852748	-44.19629415970786
-55.23482750647768	-46.76635960969873
-49.79952149384222	-48.635498118783
-42.250485365181866	-49.57006737332513
-32.88968056564302	-50.27099431423173
-25.038682991836254	-50.27099431423173
-11.148456515101188	-47.46728655060533
-7.826880618490634	-45.598148041521064
