-16.221029968601428	-14.646591636986583
-17.389254659932064	-16.51579134657878
-18.09018947473044	-19.553240874666088
-17.856544536464313	-22.590690402753395
-16.68831984513369	-25.628139930840703
-15.75374009206918	-27.73098960413192
-14.585515400738558	-29.600189313724115
-12.015421079811176	-31.235739059617288
-10.61355145021443	-32.17033891441338
-9.67897169714992	-33.10493876920947
-8.510747005819297	-34.50683855140362
-7.342522314488676	-35.90873833359775
-5.940652684891916	-38.01158800688898
-5.473362808359667	-40.58173760757824
-4.3051381170290455	-42.217287353471406
-3.1369134256984097	-43.61918713566555
-1.2677539195694152	-45.722036808956766
