-13.05812448760858	-17.574775627082914
-13.62630741609641	-17.574775627082914
-17.414193606015345	-17.006580477636206
-19.68692531996669	-17.195978860785118
-23.09602289089372	-16.2489869450406
-23.66420581938155	-16.059588561891687
-26.126331842828847	-14.733799879849371
-28.020274937788315	-10.3776370674246
-29.91421803274777	-6.400271021297627
-29.34603510425993	-2.801701741468449
-29.34603510425993	-0.1501243773838183
-28.96724648526805	2.880249752998637
-28.777852175772097	5.153030350785471
-28.209669247284253	8.562201247465751
-28.209669247284253	11.971372144145988
-28.209669247284253	15.001746274528443
-28.39906355678021	20.68369776899556
